gene,pathway
TGFBR2,TGF-B Signaling
TGFBR3,TGF-B Signaling
TNFAIP3,Immune Response
TP53,Cell cycle control
TSC1,PI3K/AKT/mTOR Signaling
TSC2,PI3K/AKT/mTOR Signaling
TSHR,Hormone Signaling
VEGFA,RTK Signaling
VEGFB,RTK Signaling
VEGFC,RTK Signaling
WISP3,WNT signaling
WNT1,WNT signaling
WT1,WNT signaling
LAG3,Immune Checkpoints
TIGIT,Immune Checkpoints
CTLA4,Immune Checkpoints
HAVCR2,Immune Checkpoints
TNFRSF9,Immune Checkpoints
TNFRSF18,Immune Checkpoints
EZHIP,Epigenetics
