geneid,feature_name,counts_tpm_round,sample,size,mu,fc,log2FC,lower_than_p,higher_than_p,p_value,p_adj,refseq_id,type,all_kegg_gene_names,gene_definition,all_kegg_paths_name,num_of_paths
ENSG00000030110,BAK1,9,Testis,394.517126530666,16.2281633609156,0.554591409997503,-0.850502824074302,0.0415479747537311,0.958452025246269,0.0830959495074622,0.418773710366993,578,CDS,(RefSeq) BCL2 antagonist/killer 1,,"Platinum drug resistance, Protein processing in endoplasmic reticulum, Apoptosis, Apoptosis - multiple species, Pathways of neurodegeneration - multiple diseases, Pathogenic Escherichia coli infection, Salmonella infection, Hepatitis C, Measles, Human cytomegalovirus infection, Influenza A, Human papillomavirus infection, Kaposi sarcoma-associated herpesvirus infection, Herpes simplex virus 1 infection, Epstein-Barr virus infection, Human immunodeficiency virus 1 infection, Pathways in cancer, Transcriptional misregulation in cancer, Viral carcinogenesis, MicroRNAs in cancer, Colorectal cancer, Pancreatic cancer, Endometrial cancer, Glioma, Thyroid cancer, Basal cell carcinoma, Melanoma, Chronic myeloid leukemia, Small cell lung cancer, Non-small cell lung cancer, Breast cancer, Hepatocellular carcinoma, Gastric cancer",33
ENSG00000036549,ZZZ3,13,Testis,3006624.53877848,7.4849483851902,1.73681892392497,0.796447350379362,0.97875106391107,0.0212489360889297,0.0424978721778595,0.255731026559084,26009,"","",,,1
ENSG00000037280,FLT4,5,Testis,1285.28720930233,10.0886426592798,0.495606809445359,-1.01273208520231,0.064528154178484,0.935471845821516,0.129056308356968,0.57774045998289,2324,CDS,(RefSeq) fms related receptor tyrosine kinase 4,,"MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, PI3K-Akt signaling pathway, Focal adhesion, Pathways in cancer, Breast cancer",8
ENSG00000044115,CTNNA1,46,Testis,17.0987489082063,51.3831469253238,0.895235164690336,-0.159661388635635,0.394311434590517,0.605688565409483,0.788622869181034,0.88471636704188,1495,CDS,(RefSeq) catenin alpha 1,,"Hippo signaling pathway, Adherens junction, Leukocyte transendothelial migration, Bacterial invasion of epithelial cells, Pathways in cancer, Endometrial cancer, Gastric cancer, Arrhythmogenic right ventricular cardiomyopathy",8
ENSG00000044524,EPHA3,2,Testis,6636042.38573758,2.09990516221873,0.952423964655065,-0.070324173088389,0.64965696396662,0.350343036033381,0.700686072066761,0.832875861697972,2042,CDS,(RefSeq) EPH receptor A3,,Axon guidance,1
ENSG00000046647,GEMIN8,18,Testis,35400530.4975964,10.603298677053,1.69758492599614,0.763483750757889,0.987379545645691,0.0126204543543091,0.0252409087086182,0.174370253436258,54960,"","",,,1
ENSG00000047936,ROS1,1,Testis,9523414.44103141,2.06648928363978,0.483912502192445,-1.04718188223177,0.388308227388685,0.611691772611315,0.776616454777371,0.877955493596602,6098,"","",,,1
ENSG00000049249,TNFRSF9,1,Testis,6636042.38578312,1.00840133461522,0.991668659761913,-0.0120699327115947,0.732668240499946,0.267331759500054,0.534663519000108,0.774842828344554,3604,CDS,(RefSeq) TNF receptor superfamily member 9,,Cytokine-cytokine receptor interaction,1
ENSG00000051180,RAD51,7,Testis,26.5181167166627,24.841793242423,0.2817832002581,-1.82734249327107,0.00097898748003698,0.999021012519963,0.00195797496007396,0.0256766190228264,5888,CDS,(RefSeq) RAD51 recombinase,,"Homologous recombination, Fanconi anemia pathway, Pathways in cancer, Pancreatic cancer",4
ENSG00000052749,RRP12,19,Testis,118395459.061841,28.2028758301166,0.673690162466011,-0.569842862305708,0.0443097799886945,0.955690220011305,0.0886195599773891,0.439400095474876,23223,"","",,,1
ENSG00000062485,CS,21,Testis,72.5440829943102,50.1408154161639,0.418820472417571,-1.25559613033251,0.000136049486638821,0.999863950513361,0.000272098973277643,0.00598020658824311,1431,CDS,(RefSeq) citrate synthase,,"Citrate cycle (TCA cycle), Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Carbon metabolism, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids",6
ENSG00000064012,CASP8,4,Testis,25216693.5772502,3.53711248964239,1.13086592855417,0.177427898668661,0.718419569235696,0.281580430764304,0.563160861528609,0.774842828344554,841,CDS,(RefSeq) caspase 8,,"Platinum drug resistance, p53 signaling pathway, Apoptosis, Apoptosis - multiple species, Necroptosis, Toll-like receptor signaling pathway, NOD-like receptor signaling pathway, RIG-I-like receptor signaling pathway, Cytosolic DNA-sensing pathway, C-type lectin receptor signaling pathway, IL-17 signaling pathway, TNF signaling pathway, Non-alcoholic fatty liver disease, Alcoholic liver disease, Alzheimer disease, Huntington disease, Pathways of neurodegeneration - multiple diseases, Pathogenic Escherichia coli infection, Salmonella infection, Legionellosis, Chagas disease, Toxoplasmosis, Tuberculosis, Hepatitis C, Hepatitis B, Measles, Human cytomegalovirus infection, Influenza A, Human papillomavirus infection, Kaposi sarcoma-associated herpesvirus infection, Herpes simplex virus 1 infection, Epstein-Barr virus infection, Human immunodeficiency virus 1 infection, Pathways in cancer, Viral carcinogenesis, Viral myocarditis, Lipid and atherosclerosis",37
