geneid,feature_name,counts_tpm_round,sample,size,mu,fc,log2FC,lower_than_p,higher_than_p,p_value,p_adj,refseq_id,type,all_kegg_gene_names,gene_definition,all_kegg_paths_name,num_of_paths
ENSG00000131828,PDHA1,42,Spleen,440.273776284978,34.3900108650631,1.22128487149354,0.288399756226456,0.905131215033832,0.0948687849661679,0.189737569932336,0.678364686217073,5160,CDS,(RefSeq) pyruvate dehydrogenase E1 subunit alpha 1,,"Glycolysis / Gluconeogenesis, Citrate cycle (TCA cycle), Pyruvate metabolism, Lipoic acid metabolism, Metabolic pathways, Carbon metabolism, HIF-1 signaling pathway, Glucagon signaling pathway, Central carbon metabolism in cancer, Diabetic cardiomyopathy",10
ENSG00000132155,RAF1,49,Spleen,33.4647061783638,98.4060942677907,0.497936640658222,-1.00596591489018,0.00176860824048504,0.998231391759515,0.00353721648097007,0.0457026947672539,5894,CDS,"(RefSeq) Raf-1 proto-oncogene, serine/threonine kinase",,"EGFR tyrosine kinase inhibitor resistance, Endocrine resistance, MAPK signaling pathway, ErbB signaling pathway, Ras signaling pathway, Rap1 signaling pathway, cGMP-PKG signaling pathway, cAMP signaling pathway, Chemokine signaling pathway, FoxO signaling pathway, Sphingolipid signaling pathway, Phospholipase D signaling pathway, Autophagy - animal, mTOR signaling pathway, PI3K-Akt signaling pathway, Apoptosis, Cellular senescence, Vascular smooth muscle contraction, Axon guidance, VEGF signaling pathway, Apelin signaling pathway, Focal adhesion, Gap junction, Signaling pathways regulating pluripotency of stem cells, Neutrophil extracellular trap formation, C-type lectin receptor signaling pathway, JAK-STAT signaling pathway, Natural killer cell mediated cytotoxicity, T cell receptor signaling pathway, B cell receptor signaling pathway, Fc epsilon RI signaling pathway, Fc gamma R-mediated phagocytosis, Long-term potentiation, Neurotrophin signaling pathway, Serotonergic synapse, Long-term depression, Regulation of actin cytoskeleton, Insulin signaling pathway, GnRH signaling pathway, Progesterone-mediated oocyte maturation, Estrogen signaling pathway, Melanogenesis, Prolactin signaling pathway, Thyroid hormone signaling pathway, Oxytocin signaling pathway, Relaxin signaling pathway, Parathyroid hormone synthesis, secretion and action, GnRH secretion, Growth hormone synthesis, secretion and action, Alzheimer disease, Pathways of neurodegeneration - multiple diseases, Alcoholism, Salmonella infection, Tuberculosis, Hepatitis C, Hepatitis B, Human cytomegalovirus infection, Influenza A, Human papillomavirus infection, Kaposi sarcoma-associated herpesvirus infection, Human immunodeficiency virus 1 infection, Pathways in cancer, Proteoglycans in cancer, MicroRNAs in cancer, Chemical carcinogenesis - receptor activation, Chemical carcinogenesis - reactive oxygen species, Colorectal cancer, Renal cell carcinoma, Pancreatic cancer, Endometrial cancer, Glioma, Prostate cancer, Melanoma, Bladder cancer, Chronic myeloid leukemia, Acute myeloid leukemia, Non-small cell lung cancer, Breast cancer, Hepatocellular carcinoma, Gastric cancer, Central carbon metabolism in cancer, Choline metabolism in cancer, PD-L1 expression and PD-1 checkpoint pathway in cancer",83
ENSG00000132589,FLOT2,38,Spleen,14.4833902331639,234.65605689619,0.161939139788797,-2.62647637573981,5.03306818200265e-07,0.999999496693182,1.00661363640053e-06,3.94541898242019e-05,2319,CDS,(RefSeq) flotillin 2,,Insulin signaling pathway,1
ENSG00000132703,APCS,1,Spleen,0.454288040621642,4.07522653527355,0.245385131683943,-2.02688025866441,0.495586610343799,0.504413389656201,0.991173220687598,0.993511394701658,325,"","",,,1
ENSG00000132781,MUTYH,12,Spleen,30.7422465082,25.2399118562314,0.47543747649964,-1.07267246626163,0.0172728288534296,0.98272717114657,0.0345456577068592,0.270841046891574,4595,CDS,(RefSeq) mutY DNA glycosylase,,Base excision repair,1
ENSG00000132906,CASP9,25,Spleen,6697777.34149377,9.9213686773004,2.51981362785144,1.33331703209118,0.999984489817985,1.55101820154552e-05,3.10203640309104e-05,0.000834070075630729,842,CDS,(RefSeq) caspase 9,,"Platinum drug resistance, p53 signaling pathway, PI3K-Akt signaling pathway, Apoptosis, Apoptosis - multiple species, VEGF signaling pathway, Thyroid hormone signaling pathway, Alzheimer disease, Parkinson disease, Amyotrophic lateral sclerosis, Huntington disease, Prion disease, Pathways of neurodegeneration - multiple diseases, Pathogenic Escherichia coli infection, Legionellosis, Toxoplasmosis, Tuberculosis, Hepatitis C, Hepatitis B, Measles, Human cytomegalovirus infection, Influenza A, Kaposi sarcoma-associated herpesvirus infection, Herpes simplex virus 1 infection, Epstein-Barr virus infection, Human immunodeficiency virus 1 infection, Pathways in cancer, Colorectal cancer, Pancreatic cancer, Endometrial cancer, Prostate cancer, Small cell lung cancer, Non-small cell lung cancer, Viral myocarditis, Lipid and atherosclerosis",35
ENSG00000132964,CDK8,13,Spleen,45703859.1405638,10.9465670133476,1.18758693790926,0.248033130537941,0.786214544540065,0.213785455459935,0.42757091091987,0.678364686217073,1024,"","",,,1
ENSG00000133065,SLC41A1,103,Spleen,29.4760410356741,16.8550488542052,6.11092859421184,2.61139162332927,1,4.75206538476442e-23,9.50413076952885e-23,1.78283507224526e-20,254428,"","",,,1
ENSG00000133101,CCNA1,4,Spleen,2079970.93091297,1.81327338548223,2.2059552806684,1.14140354477705,0.962625788470898,0.0373742115291016,0.0747484230582031,0.456052382518057,8900,CDS,(RefSeq) cyclin A1,,"Cell cycle, AMPK signaling pathway, Cellular senescence, Progesterone-mediated oocyte maturation, Hepatitis B, Human papillomavirus infection, Human T-cell leukemia virus 1 infection, Epstein-Barr virus infection, Pathways in cancer, Transcriptional misregulation in cancer, Viral carcinogenesis, Acute myeloid leukemia",12
ENSG00000133401,PDZD2,12,Spleen,3035396.85553985,1.72599951004848,6.9524932829575,2.79753044573542,0.999999960712473,3.92875267141848e-08,7.85750534283697e-08,3.81238546426505e-06,23037,"","",,,1
